Disease,Treatment
depression,exercise
arthritis,pain relievers
flu,rest and fluids
hypertension,reduce salt intake
flu,hydration
asthma,inhalers
migraine,rest in a dark room
anemia,iron supplements
gastritis,eating smaller meals
tuberculosis,rest
arthritis,anti-inflammatory drugs
gastritis,avoid spicy food
anemia,iron-rich foods
diabetes,insulin
diabetes,insulin
migraine,pain relievers
depression,antidepressants
depression,social support
tuberculosis,antibiotics
hypertension,regular exercise
depression,social support
pneumonia,oxygen therapy
heart disease,medication
diabetes,healthy diet
anemia,vitamin B12
flu,pain relievers
gout,pain relievers
asthma,inhalers
diabetes,healthy diet
asthma,bronchodilators
tuberculosis,antibiotics
cold,vitamin C
cold,over-the-counter medicine
allergy,avoid allergens
hypertension,reduce salt intake
arthritis,physical therapy
heart disease,exercise
depression,exercise
migraine,hydration
allergy,nasal sprays
pneumonia,rest
migraine,hydration
gout,anti-inflammatory drugs
tuberculosis,antibiotics
skin rash,antihistamines
hypertension,regular exercise
pneumonia,oxygen therapy
tuberculosis,antibiotics
flu,pain relievers
heart disease,exercise
asthma,inhalers
allergy,avoid allergens
tuberculosis,rest
arthritis,pain relievers
hypertension,regular exercise
allergy,avoid allergens
tuberculosis,rest
cold,vitamin C
heart disease,medication
pneumonia,rest
arthritis,physical therapy
depression,therapy
cold,vitamin C
anemia,iron-rich foods
cold,rest and fluids
migraine,rest in a dark room
depression,exercise
depression,social support
allergy,nasal sprays
diabetes,healthy diet
hypertension,reduce salt intake
arthritis,physical therapy
arthritis,pain relievers
diabetes,insulin
gastritis,eating smaller meals
arthritis,physical therapy
pneumonia,oxygen therapy
flu,hydration
tuberculosis,rest
pneumonia,rest
pneumonia,antibiotics
anemia,iron-rich foods
allergy,antihistamines
hypertension,regular exercise
heart disease,consult a cardiologist
gastritis,eating smaller meals
gout,anti-inflammatory drugs
asthma,avoid triggers
heart disease,medication
heart disease,exercise
tuberculosis,antibiotics
anemia,iron supplements
cold,over-the-counter medicine
flu,rest and fluids
migraine,rest in a dark room
skin rash,avoid allergens
hypertension,reduce salt intake
tuberculosis,rest
asthma,inhalers
migraine,pain relievers
gastritis,avoid spicy food
cold,vitamin C
diabetes,healthy diet
heart disease,healthy diet
cold,vitamin C
pneumonia,antibiotics
anemia,iron supplements
skin rash,avoid allergens
allergy,antihistamines
depression,social support
diabetes,insulin
gout,avoid alcohol
asthma,oxygen therapy
cold,rest and fluids
flu,hydration
skin rash,antihistamines
migraine,pain relievers
hypertension,blood pressure medication
asthma,avoid triggers
heart disease,medication
arthritis,anti-inflammatory drugs
tuberculosis,rest
diabetes,healthy diet
flu,antiviral medication
gastritis,antacids
heart disease,consult a cardiologist
pneumonia,oxygen therapy
anemia,vitamin B12
hypertension,reduce salt intake
heart disease,consult a cardiologist
arthritis,anti-inflammatory drugs
diabetes,healthy diet
arthritis,anti-inflammatory drugs
heart disease,exercise
tuberculosis,rest
depression,exercise
hypertension,regular exercise
heart disease,medication
flu,hydration
asthma,bronchodilators
heart disease,medication
gastritis,antacids
gastritis,eating smaller meals
cold,vitamin C
cold,over-the-counter medicine
arthritis,physical therapy
heart disease,healthy diet
allergy,antihistamines
skin rash,avoid allergens
arthritis,anti-inflammatory drugs
depression,social support
flu,hydration
allergy,antihistamines
skin rash,avoid allergens
tuberculosis,nutritious diet
hypertension,blood pressure medication
arthritis,pain relievers
gout,anti-inflammatory drugs
cold,over-the-counter medicine
asthma,oxygen therapy
allergy,nasal sprays
cold,over-the-counter medicine
arthritis,physical therapy
cold,rest and fluids
anemia,folic acid
asthma,inhalers
arthritis,physical therapy
skin rash,antihistamines
hypertension,reduce salt intake
migraine,caffeine
skin rash,topical ointments
gastritis,antacids
tuberculosis,nutritious diet
pneumonia,rest
skin rash,avoid allergens
migraine,hydration
heart disease,exercise
heart disease,healthy diet
hypertension,regular exercise
arthritis,pain relievers
skin rash,topical ointments
migraine,caffeine
depression,exercise
depression,exercise
tuberculosis,antibiotics
migraine,rest in a dark room
gastritis,avoid spicy food
diabetes,exercise
gout,avoid alcohol
pneumonia,oxygen therapy
allergy,antihistamines
diabetes,exercise
asthma,avoid triggers
allergy,avoid allergens
tuberculosis,rest
depression,social support
diabetes,insulin
arthritis,physical therapy
diabetes,healthy diet
gastritis,avoid spicy food
gastritis,avoid spicy food
hypertension,blood pressure medication
flu,hydration
migraine,caffeine
depression,therapy
allergy,antihistamines
skin rash,antihistamines
skin rash,antihistamines
pneumonia,antibiotics
asthma,inhalers
anemia,vitamin B12
cold,vitamin C
allergy,nasal sprays
gout,pain relievers
gout,pain relievers
cold,vitamin C
tuberculosis,nutritious diet
hypertension,regular exercise
diabetes,insulin
migraine,caffeine
cold,vitamin C
gout,anti-inflammatory drugs
gastritis,antacids
flu,hydration
skin rash,topical ointments
pneumonia,oxygen therapy
allergy,avoid allergens
cold,over-the-counter medicine
migraine,pain relievers
pneumonia,oxygen therapy
hypertension,regular exercise
allergy,avoid allergens
migraine,rest in a dark room
tuberculosis,rest
migraine,rest in a dark room
gastritis,avoid spicy food
gout,avoid alcohol
hypertension,regular exercise
gastritis,antacids
arthritis,pain relievers
allergy,antihistamines
migraine,rest in a dark room
flu,pain relievers
allergy,nasal sprays
asthma,oxygen therapy
heart disease,exercise
arthritis,pain relievers
arthritis,pain relievers
allergy,avoid allergens
gout,pain relievers
anemia,folic acid
cold,vitamin C
asthma,oxygen therapy
hypertension,reduce salt intake
tuberculosis,antibiotics
flu,pain relievers
allergy,avoid allergens
anemia,vitamin B12
gastritis,eating smaller meals
anemia,iron-rich foods
anemia,vitamin B12
depression,antidepressants
gastritis,eating smaller meals
cold,rest and fluids
cold,vitamin C
arthritis,anti-inflammatory drugs
anemia,iron-rich foods
hypertension,reduce salt intake
asthma,inhalers
anemia,folic acid
tuberculosis,rest
tuberculosis,antibiotics
allergy,avoid allergens
gastritis,eating smaller meals
hypertension,regular exercise
gastritis,avoid spicy food
asthma,bronchodilators
flu,rest and fluids
arthritis,anti-inflammatory drugs
allergy,nasal sprays
hypertension,blood pressure medication
allergy,nasal sprays
skin rash,avoid allergens
heart disease,exercise
heart disease,healthy diet
heart disease,healthy diet
tuberculosis,antibiotics
gastritis,eating smaller meals
heart disease,exercise
pneumonia,rest
skin rash,topical ointments
arthritis,anti-inflammatory drugs
tuberculosis,rest
anemia,vitamin B12
migraine,hydration
depression,exercise
hypertension,reduce salt intake
gastritis,antacids
depression,antidepressants
depression,therapy
heart disease,healthy diet
flu,rest and fluids
asthma,avoid triggers
hypertension,blood pressure medication
anemia,vitamin B12
gout,pain relievers
depression,exercise
pneumonia,antibiotics
anemia,iron-rich foods
gastritis,eating smaller meals
depression,exercise
depression,social support
cold,rest and fluids
flu,antiviral medication
migraine,pain relievers
migraine,pain relievers
tuberculosis,nutritious diet
pneumonia,oxygen therapy
skin rash,antihistamines
depression,therapy
gout,avoid alcohol
skin rash,topical ointments
pneumonia,oxygen therapy
diabetes,insulin
flu,pain relievers
allergy,nasal sprays
heart disease,consult a cardiologist
migraine,pain relievers
skin rash,topical ointments
tuberculosis,nutritious diet
cold,rest and fluids
hypertension,reduce salt intake
migraine,pain relievers
hypertension,blood pressure medication
diabetes,exercise
anemia,vitamin B12
anemia,folic acid
skin rash,avoid allergens
migraine,rest in a dark room
migraine,hydration
asthma,bronchodilators
flu,rest and fluids
cold,over-the-counter medicine
allergy,avoid allergens
flu,hydration
hypertension,blood pressure medication
migraine,caffeine
gastritis,eating smaller meals
arthritis,physical therapy
gout,pain relievers
gastritis,avoid spicy food
migraine,pain relievers
arthritis,pain relievers
gastritis,antacids
diabetes,insulin
skin rash,topical ointments
diabetes,insulin
diabetes,blood sugar monitoring
heart disease,healthy diet
anemia,vitamin B12
hypertension,blood pressure medication
cold,over-the-counter medicine
pneumonia,rest
tuberculosis,rest
depression,antidepressants
diabetes,exercise
skin rash,antihistamines
depression,social support
pneumonia,antibiotics
tuberculosis,rest
hypertension,blood pressure medication
tuberculosis,antibiotics
arthritis,physical therapy
anemia,vitamin B12
allergy,antihistamines
tuberculosis,rest
gout,anti-inflammatory drugs
heart disease,healthy diet
anemia,folic acid
tuberculosis,rest
skin rash,avoid allergens
diabetes,exercise
anemia,folic acid
flu,pain relievers
diabetes,blood sugar monitoring
diabetes,blood sugar monitoring
tuberculosis,antibiotics
asthma,inhalers
gastritis,eating smaller meals
heart disease,healthy diet
tuberculosis,rest
depression,social support
allergy,avoid allergens
gastritis,avoid spicy food
allergy,nasal sprays
gastritis,avoid spicy food
gout,anti-inflammatory drugs
anemia,folic acid
anemia,vitamin B12
anemia,iron supplements
tuberculosis,antibiotics
depression,exercise
migraine,caffeine
allergy,avoid allergens
gastritis,avoid spicy food
anemia,iron-rich foods
flu,antiviral medication
depression,exercise
depression,antidepressants
cold,rest and fluids
anemia,vitamin B12
hypertension,reduce salt intake
tuberculosis,nutritious diet
heart disease,healthy diet
depression,therapy
flu,pain relievers
skin rash,topical ointments
allergy,antihistamines
flu,pain relievers
pneumonia,rest
migraine,hydration
anemia,iron supplements
anemia,folic acid
cold,vitamin C
gastritis,antacids
heart disease,consult a cardiologist
arthritis,physical therapy
